"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","retrieveAndIterateOrdersTest","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","retrieveAndIterateOrdersTest"
"","5","displayAllOrdersTest","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","displayAllOrdersTest"
"","7","refundTestRejected","All Test Suite","2026-07-16","broken","2026-07-16","scripts.RefundTest","RefundTest","scripts.RefundTest","refundTestRejected"
"","14","TC_API_COUPON_002_AddCouponWithPercentageDiscount","All Test Suite","2026-07-16","broken","2026-07-16","scripts.CouponsTest","CouponsTest","scripts.CouponsTest","TC_API_COUPON_002_AddCouponWithPercentageDiscount"
"","7","refundTestApproved","All Test Suite","2026-07-16","broken","2026-07-16","scripts.RefundTest","RefundTest","scripts.RefundTest","refundTestApproved"
"","1678","TC_API_COUPON_001_AddCouponAsOwner","All Test Suite","2026-07-16","broken","2026-07-16","scripts.CouponsTest","CouponsTest","scripts.CouponsTest","TC_API_COUPON_001_AddCouponAsOwner"
"","7","verifySortingOfTable","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","verifySortingOfTable"
"","1742","m1","All Test Suite","2026-07-16","passed","2026-07-16","scripts.JSONPathTest","JSONPathTest","scripts.JSONPathTest","m1"
"","6","placeOrderAsUser","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","placeOrderAsUser"
"","12","TC_API_ORD_05","All Test Suite","2026-07-16","broken","2026-07-16","scripts.RestaurantTest","RestaurantTest","scripts.RestaurantTest","TC_API_ORD_05"
"","6","placeOrderAsUser","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","placeOrderAsUser"
"","6","placeOrderAsUser","All Test Suite","2026-07-16","broken","2026-07-16","scripts.OrderPlaceTest","OrderPlaceTest","scripts.OrderPlaceTest","placeOrderAsUser"
"","6","TC_API_E2E_MP_01","All Test Suite","2026-07-16","broken","2026-07-16","scripts.MultiProfileTest","MultiProfileTest","scripts.MultiProfileTest","TC_API_E2E_MP_01"
